Gene/Factor,"Cell Type(s)","Context/Function","Source(s)"
"SCL (TAL1)","HSC; Progenitors; MEFs; MAFs; PCS; GMP-C subset","Part of TF heptad; key TF; used in reprogramming cocktails; downregulated in GMP-C subset; essential for blood/endothelium specification","Barcia Durán 2019;Buenrostro 2018;Daniel 2016"
"SCF","General (cytokine)","Cytokine used in hematopoietic expansion/differentiation media","Daniel 2016"
"SERBP1","MDS/CH cells (SF3B1mut); CH validation sample","Gene with cryptic 3' splice site event in SF3B1mut cells (MDS and CH); also in CH validation sample","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"SF3B1","Hematopoietic progenitors (MDS/CH)","Splicing factor; commonly mutated in MDS/CH; cryptic 3' splice site usage in SF3B1mut cells; SF3B1ins isoform","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"SLC25A39","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"SOX2","Fibroblasts (reprogramming context); iPSCs","Pluripotency factor; used in reprogramming attempts (fibroblasts -> myeloid progenitors; fibroblast -> iPSCs)","Barcia Durán 2019;Theodoris 2023 Suppl.;Daniel 2016"
"SOX4","PCS (derived myeloid precursors)","Used in reprogramming cocktail (PCS -> myeloid/erythroid)","Daniel 2016"
"SOX17","MEF (reprogramming context); HE; PCS","Canonical endothelial TF; used in reprogramming MEFs to eHBs; crucial for HE development & definitive hematopoiesis","Barcia Durán 2019;Daniel 2016"
"SPI1 (PU.1)","Hematopoietic progenitors; ECs; B cells (reprogramming context)","Myeloid TF; RUNX1 target; used in reprogramming cocktails (EC -> HSPC, B cell -> Macrophage); motif accessibility increases early","Barcia Durán 2019;Buenrostro 2018;Daniel 2019"
"SPIB","Myeloid lineage (GMP -> Mono); GMP-C subset","TF expression and motif accessibility increases during myeloid differentiation; upregulated in GMP-C subset","Buenrostro 2018"
"SRP19","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"SRSF3","CH cells (DNMT3Amut)","Splicing factor; exon skipping event in DNMT3Amut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"SRSF11","Hematopoietic progenitors (SF3B1mut)","Gene related to RNA processing; progenitor-specific cryptic 3' splice site in SF3B1mut MDS; also in MDS validation cohort","Cortés-López 2023 Suppl.;Cortés-López 2023 (Cell Stem Cell)"
"STAT1","Myeloid lineage (GMP -> Mono); LMPP","TF motif accessibility increases sharply in GMP->Mono transition; variability correlated with CLP/PDC direction in LMPPs","Buenrostro 2018"
"STAT3","Myeloid lineage (HSC->CMP->GMP->Mono)","TF motif accessibility changes during myeloid differentiation","Buenrostro 2018"
"STAU1","MDS validation cohort cells (SF3B1mut)","Gene with cryptic 3' splice site event in MDS validation cohort","Cortés-López 2023 Suppl."
"STX4","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"SVBP","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TAL1 (SCL)","HSC; Progenitors; MEFs; PCS; GMP-C subset","Part of TF heptad; key TF; used in reprogramming cocktails; downregulated in GMP-C subset; essential for blood/endothelium specification","Barcia Durán 2019;Buenrostro 2018;Daniel 2016"
"TBX5","iPSC-derived cardiomyocytes; Fetal cardiomyocytes","Congenital heart disease gene; direct/indirect targets studied in iPSC model","Theodoris 2023 Suppl."
"TCF3","Myeloid lineage (CMP)","TF motif accessibility changes during myeloid differentiation (may reflect lymphoid program)","Buenrostro 2018"
"TCF4","LMPP -> CLP/PDC","TF motif variability correlated with CLP/PDC direction in LMPPs","Buenrostro 2018"
"TCF12","Myeloid lineage (CMP)","TF motif accessibility changes during myeloid differentiation (may reflect lymphoid program)","Buenrostro 2018"
"TEAD4","iPSC-derived cardiomyocytes","Geneformer-predicted dosage-sensitive gene in cardiomyocytes; knockout tested","Theodoris 2023 Suppl."
"Ter119","Mouse erythroid cells","Marker for mouse erythrocytes (used in differentiation assays)","Daniel 2016"
"TET2","Hematopoietic progenitors","DNA demethylase; locus shown as example","Buenrostro 2018"
"TGFB","EC (reprogramming context)","Signaling pathway; inhibition favors HSC reprogramming from ECs","Barcia Durán 2019"
"TIAL1","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TLR7","GMP (GMP-C subset)","Upregulated in GMP-C subset of GMPs","Buenrostro 2018"
"TMEM59","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TMEM141","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TMEM14C","MDS cells","Gene potentially mis-spliced in SF3B1-mutant MDS, causing ring sideroblast formation","Cortés-López 2023 (Cell Stem Cell)"
"TMEM216","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TMEM242","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TP53","(p53 gene) Hematopoietic progenitors (SF3B1mut); MEF","Tumor suppressor gene; pathway upregulated in SF3B1mut cells (MDS); interacts with MDM4; knockout mice used for reprogramming","Barcia Durán 2019;Cortés-López 2023 (Cell Stem Cell);Daniel 2016"
"Tpo","General (cytokine)","Cytokine used in hematopoietic expansion/differentiation media","Daniel 2016"
"TSTD1","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"TTN","iPSC-derived cardiomyocytes","Gene mutated (truncating) in iPSC model of dilated cardiomyopathy","Theodoris 2023 Suppl."
"U2AF1","AML CD34+ cells (mutated)","Splicing factor; S34F mutation studied using GoT-Splice","Cortés-López 2023 (Cell Stem Cell)"
"UBE2V2","Hematopoietic progenitors","Gene near differentially accessible region around GATA2","Buenrostro 2018"
"UROD","EP (SF3B1mut); CH cells","Gene involved in heme metabolism; cryptic 3' splice site (NMD-inducing) occurs early in SF3B1mut EP maturation; also in CH cells","Cortés-López 2023 (Cell Stem Cell)"
"VE-Cadherin","(CDH5) Haemogenic endothelium","Endothelial marker; expressed in haemogenic endothelium","Barcia Durán 2019"
"WDR45","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"WNT","PCS (differentiation context)","Signaling pathway; manipulation affects primitive vs definitive hematopoiesis from PCS","Barcia Durán 2019"
"ZBTB38","CH cells (SF3B1mut)","Gene with cryptic 3' splice site event in SF3B1mut CH cells","Cortés-López 2023 (Cell Stem Cell)"
"ZFP37","B-cell progenitors (reprogramming context)","Repressor; TF used in reprogramming cocktail (B-cells to iHSCs)","Barcia Durán 2019"
"ZFPM1","Hematopoietic progenitors","Example variable gene in scRNA-seq matching","Buenrostro 2018"
